,time,theta,x_pivot,time_seconds,theta_scaled,theta_filtered
797,24414,-32,0,24.414,-0.048,-0.033175482
798,24444,6,0,24.444,0.009,0.036381299
799,24474,95,0,24.474,0.1425,0.079822952
800,24503,14,0,24.503,0.021,0.073828798
801,24533,53,0,24.533,0.0795,0.069416388
802,24563,73,0,24.563,0.1095,0.089799772
803,24593,58,0,24.593,0.087,0.103329597
804,24624,72,0,24.624,0.108,0.107572855
805,24653,88,0,24.653,0.132,0.126964857
806,24684,101,0,24.684,0.1515,0.153081234
807,24714,110,0,24.714,0.165,0.164270014
808,24744,107,0,24.744,0.1605,0.1640094
809,24772,110,0,24.772,0.165,0.161034608
810,24800,99,0,24.8,0.1485,0.150291647
811,24831,88,0,24.831,0.132,0.130476251
812,24861,71,0,24.861,0.1065,0.109934781
813,24891,62,0,24.891,0.093,0.089572488
814,24921,43,0,24.921,0.0645,0.065787902
815,24951,33,0,24.951,0.0495,0.048611462
816,24981,31,0,24.981,0.0465,0.046763228
817,25011,21,0,25.011,0.0315,0.039538239
818,25041,16,0,25.041,0.024,0.002553562
819,25071,-48,0,25.071,-0.072,-0.046784839
820,25101,-41,0,25.101,-0.0615,-0.074915736
821,25131,-56,0,25.131,-0.084,-0.085393973
822,25162,-72,0,25.162,-0.108,-0.10171095
823,25192,-81,0,25.192,-0.1215,-0.124663523
824,25221,-95,0,25.221,-0.1425,-0.141583461
825,25250,-98,0,25.25,-0.147,-0.149555784
826,25280,-104,0,25.28,-0.156,-0.151829331
827,25310,-99,0,25.31,-0.1485,-0.150246906
828,25339,-93,0,25.339,-0.1395,-0.142372152
829,25369,-84,0,25.369,-0.126,-0.12329528
830,25399,-71,0,25.399,-0.1065,-0.102069851
831,25429,-60,0,25.429,-0.09,-0.098725636
832,25459,-70,0,25.459,-0.105,-0.103799689
833,25489,-60,0,25.489,-0.09,-0.081165844
834,25519,-20,0,25.519,-0.03,-0.036325952
835,25549,-11,0,25.549,-0.0165,-0.019247694
836,25579,-24,0,25.579,-0.036,-0.035338589
837,25610,-28,0,25.61,-0.042,-0.031708875
838,25648,15,0,25.648,0.0225,0.010440347
839,25676,33,0,25.676,0.0495,0.051524894
840,25707,42,0,25.707,0.063,0.068261814
841,25736,54,0,25.736,0.081,0.078200891
842,25765,63,0,25.765,0.0945,0.091954987
843,25796,63,0,25.796,0.0945,0.099195825
844,25824,68,0,25.824,0.102,0.097412577
845,25852,62,0,25.852,0.093,0.096531031
846,25881,66,0,25.881,0.099,0.098046367
847,25912,63,0,25.912,0.0945,0.093121639
848,25944,54,0,25.944,0.081,0.081563917
849,25975,48,0,25.975,0.072,0.073955782
850,26006,49,0,26.006,0.0735,0.07116185
851,26037,40,0,26.037,0.06,0.060518745
852,26068,25,0,26.068,0.0375,0.039464846
853,26100,20,0,26.1,0.03,0.02287127
854,26131,0,0,26.131,0,0.01512675
855,26163,11,0,26.163,0.0165,-0.001462631
856,26197,-28,0,26.197,-0.042,-0.032636502
857,26227,-40,0,26.227,-0.06,-0.056932942
858,26257,-38,0,26.257,-0.057,-0.064058823
859,26288,-49,0,26.288,-0.0735,-0.070335599
860,26318,-54,0,26.318,-0.081,-0.082631678
861,26348,-63,0,26.348,-0.0945,-0.089388072
862,26379,-56,0,26.379,-0.084,-0.089897586
863,26409,-62,0,26.409,-0.093,-0.092997517
